crop_type,crop_growth_stage,soil_type,soil_ph,soil_moisture,organic_carbon,electrical_conductivity,N,P,K,temperature_c,humidity,rainfall_mm,sunlight_hours,wind_speed_kmh,season,irrigation_type,water_source,field_area_hectare,mulching_used,previous_irrigation_mm,region,irrigation_need,water_required_mm
Maize,Flowering,Silt,6.41,50.56,0.38,0.23,76.0,48.5,20.0,36.5,26.01,831.28,10.72,16.82,Zaid,Canal,Groundwater,12.22,Yes,33.56,Central,Medium,29.02
Cotton,Harvest,Sandy,7.71,40.07,1.09,2.18,117.0,46.0,19.0,41.83,76.41,1844.45,7.75,19.03,Rabi,Drip,Reservoir,5.52,Yes,34.62,South,Low,13.94
Cotton,Sowing,Clay,7.76,18.58,0.95,2.52,117.0,46.0,19.0,22.38,86.44,1875.63,10.39,11.26,Zaid,Canal,River,2.52,No,60.86,South,Medium,50.08
Rice,Sowing,Silt,5.1,20.5,0.37,1.43,80.0,47.0,40.0,33.34,62.51,402.92,7.03,13.55,Zaid,Sprinkler,Groundwater,7.56,Yes,7.33,East,Medium,7.52
Rice,Flowering,Sandy,7.44,22.7,0.59,2.95,80.0,47.0,40.0,28.02,58.5,764.95,7.08,7.38,Kharif,Sprinkler,Reservoir,2.18,No,51.47,West,Medium,52.65
Maize,Flowering,Clay,5.42,36.73,0.74,1.52,76.0,48.5,20.0,16.59,76.88,2476.03,10.34,1.8,Kharif,Sprinkler,Rainwater,13.75,Yes,107.25,Central,Low,60.75
Rice,Vegetative,Loamy,6.26,19.58,0.36,1.67,80.0,47.0,40.0,31.14,74.3,1474.55,8.53,17.68,Rabi,Rainfed,Reservoir,1.27,Yes,97.92,Central,Medium,87.82
Rice,Flowering,Clay,5.36,11.85,1.48,2.11,80.0,47.0,40.0,35.21,73.29,1943.89,5.26,11.17,Kharif,Canal,River,13.11,No,74.35,North,High,108.01
Maize,Sowing,Clay,7.2,17.77,0.97,0.77,76.0,48.5,20.0,34.84,61.08,1388.44,7.92,14.03,Kharif,Sprinkler,Reservoir,10.39,Yes,15.22,East,Medium,14.13
Rice,Harvest,Sandy,5.52,56.38,1.06,2.69,80.0,47.0,40.0,26.3,81.33,1993.46,7.91,1.08,Rabi,Rainfed,Groundwater,9.11,No,16.53,West,Low,4.99
Maize,Vegetative,Silt,4.94,37.16,1.45,0.85,76.0,48.5,20.0,21.29,87.38,1571.39,7.95,7.07,Kharif,Sprinkler,Rainwater,3.84,No,101.67,West,Low,50.26
Rice,Flowering,Silt,5.9,48.28,0.99,0.59,80.0,47.0,40.0,21.29,68.28,2242.34,9.53,17.08,Kharif,Canal,Reservoir,13.24,No,76.17,South,Medium,58.19
Cotton,Flowering,Silt,6.7,18.99,1.44,2.01,117.0,46.0,19.0,17.28,63.89,1501.77,5.74,17.58,Zaid,Rainfed,Rainwater,0.71,No,12.91,East,Medium,12.08
Rice,Sowing,Clay,7.72,47.24,1.35,2.38,80.0,47.0,40.0,36.39,72.03,2066.1,10.41,18.73,Zaid,Canal,Reservoir,1.33,No,101.81,South,Low,53.02
Cotton,Harvest,Sandy,6.28,55.43,0.56,2.33,117.0,46.0,19.0,14.47,31.11,655.16,5.43,19.15,Kharif,Sprinkler,Reservoir,5.34,No,71.79,North,Low,19.46
Maize,Flowering,Silt,7.96,13.7,0.68,1.31,76.0,48.5,20.0,27.27,33.58,1066.4,7.35,10.29,Rabi,Sprinkler,Groundwater,8.73,Yes,80.74,West,Medium,83.73
Cotton,Flowering,Loamy,5.68,25.34,0.88,0.27,117.0,46.0,19.0,14.14,45.88,989.53,5.12,15.82,Kharif,Rainfed,River,12.78,No,64.64,Central,Medium,56.57
Rice,Sowing,Loamy,4.98,45.3,1.48,1.11,80.0,47.0,40.0,31.1,86.28,2014.3,10.4,8.96,Kharif,Drip,Rainwater,5.35,Yes,48.88,East,Low,24.71
Cotton,Vegetative,Silt,5.21,28.88,0.66,3.44,117.0,46.0,19.0,41.14,65.43,1484.42,10.55,11.83,Zaid,Sprinkler,Reservoir,8.63,No,0.02,Central,Medium,0.02
Cotton,Vegetative,Silt,6.72,10.35,1.12,2.01,117.0,46.0,19.0,15.18,90.11,1762.82,8.71,16.63,Rabi,Sprinkler,Rainwater,12.71,No,71.73,West,Medium,54.66
Rice,Harvest,Loamy,6.84,60.37,1.52,1.46,80.0,47.0,40.0,26.64,80.47,71.19,5.48,3.37,Rabi,Rainfed,Groundwater,1.24,Yes,68.07,North,Low,28.94
Maize,Harvest,Sandy,6.09,54.02,1.02,0.29,76.0,48.5,20.0,30.01,83.46,869.91,7.85,14.02,Kharif,Sprinkler,Groundwater,1.75,No,60.63,Central,Low,19.46
Cotton,Flowering,Sandy,8.1,34.9,0.89,1.76,117.0,46.0,19.0,35.12,32.94,762.65,7.54,4.45,Zaid,Rainfed,Groundwater,10.79,Yes,41.98,East,Low,29.05
Rice,Vegetative,Clay,7.94,31.65,1.39,2.46,80.0,47.0,40.0,29.15,37.71,973.72,4.04,10.4,Rabi,Canal,Reservoir,11.8,No,43.65,Central,Medium,34.97
Cotton,Flowering,Clay,6.81,9.15,1.09,2.5,117.0,46.0,19.0,27.01,65.96,1758.8,6.34,1.64,Kharif,Rainfed,Groundwater,3.01,No,86.73,South,Medium,89.71
Maize,Sowing,Loamy,5.45,17.04,0.98,1.6,76.0,48.5,20.0,20.1,53.27,1002.58,10.73,2.14,Kharif,Sprinkler,Groundwater,5.7,No,41.57,Central,Low,23.38
Rice,Sowing,Silt,7.07,44.58,0.32,3.09,80.0,47.0,40.0,30.62,85.61,2344.67,10.82,13.99,Zaid,Drip,Reservoir,8.08,Yes,7.44,East,Low,3.77
Rice,Harvest,Silt,6.85,41.21,0.5,0.99,80.0,47.0,40.0,30.03,94.78,876.88,7.85,17.41,Zaid,Drip,Reservoir,10.07,No,92.34,West,Low,33.6
Maize,Sowing,Silt,6.47,16.17,0.37,1.76,76.0,48.5,20.0,30.89,50.16,361.8,10.32,10.3,Kharif,Rainfed,Rainwater,12.56,Yes,11.58,West,Medium,12.1
Maize,Flowering,Clay,6.6,33.39,0.82,0.31,76.0,48.5,20.0,40.04,61.08,175.7,4.05,6.91,Kharif,Canal,River,11.04,No,25.49,Central,Medium,36.21
Cotton,Harvest,Loamy,5.94,28.24,0.74,0.43,117.0,46.0,19.0,27.46,34.26,874.76,7.94,12.7,Zaid,Rainfed,Rainwater,14.17,No,45.05,North,Low,17.9
Rice,Sowing,Clay,5.47,57.61,1.0,3.31,80.0,47.0,40.0,16.79,92.29,1156.59,10.78,1.18,Zaid,Canal,Rainwater,2.98,No,9.09,Central,Low,3.51
